No	logL	beta1	beta2	beta3	beta4	beta5	sigma	gamma1	gamma2	gamma3	gamma4	gamma5	alpha	sigma.t	D1	D2	D3
1	-1969.467	4.1332	-0.0061	-0.3518	-0.0697	-0.0063	0.352	-10.4185	0.0302	0.8221	0.432	0.5848	-0.8297	1.8246	0.188	-0.0017	1.00E-04
2	-1862.836	4.1376	-0.0061	-0.3523	-0.0704	-0.0065	0.352	-10.3495	0.0404	0.8657	0.4888	0.67	-0.5818	1.9585	0.1876	-0.0018	1.00E-04
3	-1862.471	4.1373	-0.0061	-0.3523	-0.0703	-0.0065	0.3519	-10.1811	0.0354	0.9402	0.5051	0.6546	-0.4984	1.9012	0.187	-0.0017	1.00E-04
4	-1862.392	4.137	-0.0061	-0.3524	-0.0702	-0.0065	0.3519	-10.1389	0.0368	0.9358	0.4827	0.6622	-0.5164	1.8979	0.1867	-0.0017	1.00E-04
5	-1862.006	4.1367	-0.0061	-0.3524	-0.0702	-0.0065	0.3519	-9.6597	0.0354	0.8854	0.4369	0.6664	-0.6154	1.9047	0.1866	-0.0017	1.00E-04
6	-1861.916	4.1366	-0.0061	-0.3525	-0.0701	-0.0065	0.3519	-9.6327	0.035	0.8919	0.4684	0.6581	-0.5992	1.874	0.1866	-0.0017	1.00E-04
7	-1861.85	4.1366	-0.0061	-0.3525	-0.0701	-0.0065	0.352	-9.5385	0.0355	0.9212	0.4531	0.6324	-0.593	1.85	0.1865	-0.0017	1.00E-04
8	-1861.814	4.1365	-0.0061	-0.3526	-0.07	-0.0065	0.352	-9.5105	0.0345	0.9136	0.4733	0.6442	-0.6084	1.8567	0.1865	-0.0017	1.00E-04
9	-1861.812	4.1364	-0.0061	-0.3526	-0.07	-0.0065	0.352	-9.5105	0.0345	0.9136	0.4733	0.6442	-0.6084	1.8567	0.1865	-0.0017	1.00E-04
10	-1861.773	4.1364	-0.0061	-0.3527	-0.07	-0.0065	0.352	-9.453	0.035	0.9114	0.451	0.6418	-0.621	1.8584	0.1864	-0.0017	1.00E-04
11	-1861.746	4.1363	-0.0061	-0.3527	-0.07	-0.0065	0.352	-9.4235	0.0344	0.9072	0.471	0.6435	-0.6232	1.8512	0.1864	-0.0017	1.00E-04
12	-1861.746	4.1363	-0.0061	-0.3527	-0.0699	-0.0065	0.352	-9.4235	0.0344	0.9072	0.4709	0.6435	-0.6232	1.8512	0.1864	-0.0017	1.00E-04
13	-1861.714	4.1362	-0.0061	-0.3528	-0.0699	-0.0065	0.3521	-9.3768	0.0349	0.9085	0.4521	0.6388	-0.6313	1.8492	0.1864	-0.0017	1.00E-04
14	-1861.69	4.1362	-0.0061	-0.3528	-0.0699	-0.0065	0.3521	-9.3457	0.0341	0.9048	0.4693	0.641	-0.6349	1.8457	0.1864	-0.0017	1.00E-04
15	-1861.663	4.1361	-0.0061	-0.3528	-0.0699	-0.0065	0.3521	-9.3029	0.0346	0.9066	0.4494	0.6363	-0.642	1.8463	0.1864	-0.0017	1.00E-04
16	-1861.641	4.1361	-0.0061	-0.3528	-0.0698	-0.0065	0.3521	-9.2752	0.0339	0.9034	0.4646	0.6382	-0.6452	1.8434	0.1863	-0.0017	1.00E-04
17	-1861.641	4.1361	-0.0061	-0.3529	-0.0698	-0.0065	0.3521	-9.2752	0.0339	0.9034	0.4646	0.6382	-0.6452	1.8434	0.1863	-0.0017	1.00E-04
18	-1861.641	4.136	-0.0061	-0.3529	-0.0698	-0.0065	0.3521	-9.2751	0.0339	0.9034	0.4646	0.6382	-0.6452	1.8434	0.1863	-0.0017	1.00E-04
19	-1861.604	4.136	-0.0061	-0.3529	-0.0698	-0.0065	0.3521	-9.2058	0.0346	0.9044	0.4439	0.6327	-0.6577	1.8372	0.1863	-0.0017	1.00E-04
20	-1861.583	4.136	-0.0061	-0.3529	-0.0698	-0.0065	0.3521	-9.1854	0.0337	0.9009	0.4626	0.6355	-0.6589	1.8362	0.1863	-0.0017	1.00E-04
21	-1861.55	4.136	-0.0061	-0.3529	-0.0698	-0.0065	0.3521	-9.1217	0.0339	0.9016	0.4456	0.6306	-0.6686	1.8356	0.1863	-0.0017	1.00E-04
22	-1861.534	4.136	-0.0061	-0.353	-0.0698	-0.0065	0.3521	-9.1009	0.0334	0.8985	0.4612	0.6328	-0.6713	1.8302	0.1863	-0.0017	1.00E-04
